inicio_falla,fin_falla,inicio_reparacion,fin_reparacion,piezas_ok,piezas_defectuosas,tiempo_operativo,tiempo_total
01/10/2025 8:35,01/10/2025 9:20,01/10/2025 9:28,01/10/2025 10:02,1055,45,6.95,8
02/10/2025 11:12,02/10/2025 12:00,02/10/2025 12:13,02/10/2025 12:50,988,52,6.78,8
03/10/2025 7:50,03/10/2025 8:35,03/10/2025 8:45,03/10/2025 9:28,1120,30,6.87,8
04/10/2025 9:45,04/10/2025 10:30,04/10/2025 10:43,04/10/2025 11:15,1002,41,7.03,8
05/10/2025 8:05,05/10/2025 9:00,05/10/2025 9:15,05/10/2025 9:50,950,58,6.83,8
06/10/2025 10:20,06/10/2025 11:05,06/10/2025 11:10,06/10/2025 11:45,1150,25,7,8
07/10/2025 7:15,07/10/2025 8:25,07/10/2025 8:35,07/10/2025 9:15,920,49,6.5,8
08/10/2025 9:30,08/10/2025 10:15,08/10/2025 10:20,08/10/2025 10:55,1090,38,7.08,8
09/10/2025 11:05,09/10/2025 12:05,09/10/2025 12:10,09/10/2025 12:35,1030,55,6.92,8
10/10/2025 8:55,10/10/2025 9:30,10/10/2025 9:40,10/10/2025 10:10,905,28,7.17,8
