x,y,z,corriente,tiempo,operador
,,,1.07,0.07,
0.21,-0.61,0.25,,0.08,
0.21,-0.62,0.25,,0.69,
,,,1.11,0.70,
,,,1.14,1.10,
0.21,-0.61,0.25,,1.47,
0.21,-0.61,0.26,,1.88,
,,,1.13,1.88,
0.21,-0.61,0.25,,2.48,
,,,1.13,2.48,
0.21,-0.61,0.25,,2.90,
0.21,-0.62,0.25,,3.31,
,,,1.13,3.31,
,,,1.13,3.31,
,,,1.16,3.62,
0.21,-0.61,0.25,,3.94,
,,,1.18,4.29,
0.21,-0.62,0.25,,4.29,
,,,1.19,4.75,
0.21,-0.61,0.25,,5.01,
,,,1.2,5.09,
0.2,-0.61,0.25,,5.67,
0.2,-0.61,0.25,,6.08,
,,,1.21,6.08,
,,,1.22,6.50,
0.21,-0.61,0.25,,6.51,
0.21,-0.61,0.25,,6.74,
,,,1.22,6.75,
,,,1.2,7.16,
0.21,-0.61,0.25,,7.62,
,,,1.22,8.03,
0.21,-0.61,0.25,,8.03,
,,,1.23,8.26,
0.2,-0.61,0.28,,8.26,
,,,1.21,8.77,
0.21,-0.62,0.25,,9.16,
,,,1.19,9.35,
0.21,-0.61,0.26,,9.35,
0.21,-0.61,0.25,,10.08,
,,,1.18,10.08,
,,,1.15,10.42,
0.2,-0.61,0.25,,10.42,
0.21,-0.61,0.25,,10.69,
,,,1.13,10.99,
0.21,-0.61,0.25,,11.51,
,,,1.15,11.51,
,,,1.17,11.92,
0.21,-0.61,0.25,,11.92,
,,,1.21,12.33,
0.21,-0.61,0.25,,12.58,
,,,1.23,12.78,
0.21,-0.61,0.26,,12.78,
,,,1.25,13.15,
0.21,-0.61,0.25,,13.57,
0.21,-0.61,0.25,,13.97,
,,,1.23,13.97,
0.21,-0.62,0.24,,14.88,
,,,1.22,14.88,
0.24,-0.61,0.25,,15.19,
,,,1.21,15.20,
,,,1.21,15.20,
0.21,-0.61,0.25,,15.73,
,,,1.21,16.13,
0.2,-0.62,0.25,,16.14,
,,,1.21,16.63,
0.21,-0.61,0.25,,16.63,
0.21,-0.61,0.26,,17.04,
,,,1.21,17.04,
,,,1.2,17.45,
0.21,-0.62,0.25,,17.45,
,,,1.17,17.65,
0.21,-0.62,0.25,,17.65,
0.21,-0.61,0.25,,18.41,
,,,1.15,18.41,
0.24,-0.61,0.25,,18.57,
,,,1.13,19.19,
0.24,-0.62,0.25,,19.59,
,,,1.11,19.59,
,,,1.09,19.89,
0.21,-0.61,0.25,,19.89,
,,,1.06,20.27,
0.21,-0.61,0.28,,20.65,
,,,1.03,20.98,
0.21,-0.61,0.26,,20.98,
0.21,-0.61,0.25,,21.44,
,,,1,21.44,
,,,0.97,21.85,
0.21,-0.61,0.25,,21.85,
,,,0.93,22.05,
0.24,-0.61,0.25,,22.77,
0.24,-0.61,0.25,,23.08,
,,,0.91,23.09,
,,,0.88,23.09,
0.21,-0.61,0.25,,23.69,
0.24,-0.61,0.26,,24.41,
,,,0.91,24.41,
,,,0.92,24.41,
0.21,-0.61,0.25,,24.55,
,,,0.95,24.56,
0.24,-0.61,0.25,,24.70,
,,,0.97,25.09,
0.21,-0.61,0.25,,25.35,
,,,0.98,25.61,
0.22,-0.61,0.25,,25.80,
,,,0.99,26.36,
0.21,-0.62,0.25,,26.76,
0.21,-0.61,0.25,,27.27,
0.21,-0.61,0.25,,27.27,
,,,0.99,27.28,
,,,1,27.28,
,,,0.99,27.68,
0.21,-0.61,0.25,,28.29,
0.22,-0.61,0.25,,28.64,
,,,0.98,28.64,
,,,0.98,28.65,
0.24,-0.61,0.26,,29.03,
0.21,-0.62,0.25,,29.39,
,,,0.99,29.39,
0.21,-0.62,0.26,,30.24,
,,,1.01,30.25,
0.21,-0.61,0.25,,30.86,
,,,1.03,30.86,
,,,1.06,31.26,
0.24,-0.61,0.26,,31.26,
,,,1.07,31.27,
0.24,-0.62,0.25,,31.41,
,,,1.09,31.64,
0.21,-0.62,0.26,,31.88,
,,,1.11,32.09,
0.22,-0.61,0.25,,32.50,
0.21,-0.61,0.28,,32.80,
,,,1.11,32.80,
,,,1.12,33.22,
0.24,-0.61,0.24,,33.56,
,,,1.09,33.94,
0.21,-0.61,0.24,,33.94,
,,,1.07,34.23,
0.24,-0.61,0.25,,34.86,
,,,1.04,35.21,
0.24,-0.61,0.25,,35.21,
0.24,-0.61,0.25,,35.21,
,,,1.04,35.22,
,,,1.04,35.65,
0.24,-0.61,0.25,,36.07,
,,,1.04,36.22,
0.24,-0.61,0.25,,36.22,
,,,1.04,36.68,
0.24,-0.61,0.25,,36.95,
,,,1.04,37.04,
0.24,-0.62,0.25,,37.45,
0.24,-0.62,0.25,,37.67,
,,,1.05,38.13,
,,,1.06,38.40,
0.24,-0.61,0.25,,38.40,
,,,1.05,38.86,
0.24,-0.61,0.28,,39.16,
,,,1.03,39.17,
0.24,-0.62,0.26,,39.17,
,,,1,39.82,
0.24,-0.62,0.26,,40.22,
0.22,-0.62,0.26,,40.59,
,,,0.98,40.59,
,,,0.95,41.20,
0.24,-0.61,0.28,,41.20,
,,,0.93,41.60,
0.24,-0.61,0.28,,41.60,
0.24,-0.61,0.25,,41.92,
,,,0.89,41.93,
,,,0.86,42.34,
0.24,-0.6,0.25,,42.68,
,,,0.86,43.03,
0.24,-0.61,0.25,,43.03,
,,,0.83,43.45,
0.24,-0.61,0.26,,43.45,
,,,0.81,43.70,
0.24,-0.61,0.26,,43.86,
,,,0.84,44.17,
0.24,-0.61,0.25,,44.50,
0.24,-0.61,0.25,,44.88,
,,,0.86,44.88,
,,,0.86,45.20,
0.25,-0.61,0.25,,45.20,
0.24,-0.61,0.25,,45.82,
,,,0.86,46.13,
,,,0.86,46.13,
0.24,-0.61,0.25,,46.54,
,,,0.91,47.15,
0.24,-0.61,0.25,,47.16,
0.24,-0.61,0.25,,47.55,
,,,0.95,47.55,
0.24,-0.61,0.25,,47.86,
,,,0.98,47.86,
,,,1,48.21,
0.25,-0.61,0.26,,48.68,
0.25,-0.61,0.25,,48.98,
,,,1.04,48.98,
,,,1.07,49.31,
0.25,-0.61,0.26,,49.31,
0.24,-0.62,0.25,,49.73,
,,,1.09,49.84,
,,,1.14,50.11,
0.24,-0.61,0.25,,50.41,
,,,1.18,50.74,
0.25,-0.58,0.25,,51.03,
0.25,-0.62,0.25,,51.44,
,,,1.19,51.44,
,,,1.2,51.75,
0.24,-0.61,0.25,,52.36,
0.24,-0.61,0.25,,53.28,
,,,1.21,53.29,
0.24,-0.61,0.25,,53.59,
0.24,-0.61,0.25,,53.59,
,,,1.21,53.59,
,,,1.25,53.59,
0.24,-0.61,0.25,,53.93,
,,,1.29,53.93,
0.24,-0.62,0.25,,54.35,
,,,1.29,54.35,
,,,1.3,54.62,
0.26,-0.61,0.26,,54.77,
,,,1.31,55.02,
0.24,-0.61,0.25,,55.17,
,,,1.32,55.54,
0.24,-0.61,0.25,,55.69,
0.24,-0.61,0.25,,56.25,
,,,1.34,56.57,
,,,1.35,56.74,
0.24,-0.61,0.28,,56.74,
,,,1.35,57.85,
0.24,-0.61,0.25,,58.61,
0.24,-0.61,0.26,,58.61,
,,,1.34,58.61,
0.24,-0.62,0.25,,58.93,
0.24,-0.61,0.26,,58.94,
,,,1.33,58.94,
,,,1.29,58.94,
