x,y,z,corriente,tiempo,operador
0.55,-0.69,0.51,0.81,0.32,
0.55,-0.7,0.54,0.82,0.84,
0.55,-0.69,0.54,0.83,1.35,
0.55,-0.69,0.54,0.84,1.76,
0.55,-0.7,0.54,0.83,2.27,
0.55,-0.69,0.51,0.82,2.78,
0.55,-0.69,0.52,0.82,3.29,
0.55,-0.69,0.5,0.82,3.81,
0.58,-0.67,0.54,0.8,4.32,
0.56,-0.66,0.51,0.79,4.83,
0.51,-0.71,0.5,0.82,5.34,
0.5,-0.71,0.47,0.83,5.85,
0.58,-0.7,0.55,0.83,6.26,
0.52,-0.7,0.51,0.84,6.77,
0.55,-0.7,0.54,0.83,7.28,
0.51,-0.71,0.51,0.95,7.79,
0.58,-0.73,0.51,1.04,8.20,
0.55,-0.75,0.51,1.14,8.82,
0.54,-0.71,0.58,1.21,9.33,
0.54,-0.71,0.46,1.26,9.84,
0.56,-0.69,0.54,1.33,10.25,
0.47,-0.7,0.47,1.37,10.77,
0.54,-0.65,0.51,1.4,11.28,
0.86,-0.69,0.81,1.43,11.79,
0.51,-0.79,0.64,1.68,12.33,
0.46,-0.78,0.54,1.86,12.91,
0.5,-0.7,0.5,2,13.32,
0.43,-0.87,0.47,2.12,13.84,
0.55,-0.69,0.52,2.2,14.35,
0.5,-0.36,0.51,2.28,14.76,
0.54,-0.36,0.33,2.34,15.27,
0.3,-0.52,0.34,2.41,15.78,
0.37,-0.79,0.51,2.5,16.62,
0.52,-0.87,0.58,2.55,17.58,
0.54,-0.57,0.63,2.6,17.58,
0.47,-0.36,0.51,2.59,17.93,
0.42,-0.78,0.51,2.58,18.38,
0.42,-0.75,0.68,2.55,18.73,
0.5,-0.74,0.51,2.53,19.19,
0.43,-0.69,0.39,2.5,19.69,
0.47,-0.57,0.5,2.45,20.21,
0.38,-0.48,0.72,2.42,20.72,
0.28,-0.82,0.37,2.4,21.21,
0.51,-0.96,0.59,2.37,21.93,
0.12,-0.58,0.46,2,22.24,
0.28,-0.66,0.37,1.89,22.71,
0.9,-0.95,0.43,1.94,23.23,
-0.57,-0.54,0,2.03,23.73,
-0.06,-0.51,0.34,2.16,24.23,
0.63,-0.57,-0.09,2.32,24.70,
0.32,-0.73,0.94,2.51,25.21,
1.16,-1.04,1.14,2.67,25.70,
-0.14,-0.53,-0.02,2.83,26.25,
1.31,-0.18,0.63,2.97,26.69,
0.03,-0.61,0.58,3.08,29.53,
0.97,-0.32,1.11,3.16,29.68,
0.07,-0.71,0.38,3.22,29.68,
0.84,-0.65,0.26,3.34,29.94,
0.02,-0.7,0.11,3.37,30.22,
0.68,-0.48,0.84,3.56,30.70,
0.37,-0.58,1.12,3.78,31.24,
0.97,-0.48,-0.32,3.94,31.76,
0.97,-0.57,1.14,4.07,32.27,
0.84,-0.83,1.02,4.1,32.78,
x,y,z,corriente,tiempo,operador
0.67,-0.14,-0.61,1.31,0.48,
0.67,-0.14,-0.6,1.29,0.85,
0.68,-0.13,-0.58,1.27,1.30,
0.64,-0.14,-0.61,1.26,2.02,
0.66,-0.14,-0.61,1.25,2.33,
0.66,-0.14,-0.61,1.23,2.63,
0.68,-0.14,-0.58,1.21,3.45,
0.64,-0.14,-0.61,1.13,3.87,
0.67,-0.13,-0.6,1.07,4.68,
0.67,-0.11,-0.6,1.04,5.29,
0.67,-0.1,-0.62,0.99,5.81,
0.64,-0.1,-0.61,1,6.14,
0.64,-0.09,-0.58,1.02,6.83,
0.67,-0.11,-0.57,1.03,7.45,
0.67,-0.1,-0.58,1.05,7.91,
0.6,-0.14,-0.61,1.08,8.17,
0.64,-0.1,-0.58,1.11,8.84,
0.64,-0.14,-0.61,1.12,9.29,
0.64,-0.1,-0.65,1.12,11.54,
0.64,-0.14,-0.61,1.12,11.89,
0.64,-0.19,-0.61,1.11,11.90,
0.68,-0.14,-0.66,1.12,12.01,
0.67,-0.17,-0.58,1.13,12.33,
0.68,-0.15,-0.61,1.15,12.67,
0.66,-0.14,-0.57,1.22,13.08,
0.64,-0.14,-0.57,1.24,13.60,
0.64,-0.18,-0.58,1.26,14.10,
0.68,-0.1,-0.6,1.31,14.92,
0.68,-0.14,-0.61,1.35,15.31,
0.67,-0.11,-0.57,1.46,15.74,
0.64,-0.14,-0.58,1.61,16.46,
0.67,-0.13,-0.65,1.79,16.75,
0.69,-0.14,-0.61,1.97,17.38,
0.63,-0.14,-0.61,2.11,17.79,
0.67,-0.13,-0.58,2.2,18.39,
0.64,-0.18,-0.61,2.27,19.02,
0.68,-0.09,-0.61,2.32,19.38,
0.62,-0.14,-0.61,2.37,19.86,
0.64,-0.15,-0.57,2.4,20.44,
0.66,-0.11,-0.6,2.43,20.57,
0.68,-0.14,-0.61,2.45,21.27,
0.59,-0.13,-0.6,2.46,21.78,
0.66,-0.15,-0.62,2.47,22.30,
0.64,-0.14,-0.61,2.45,22.61,
0.68,-0.15,-0.62,2.44,23.32,
0.64,-0.18,-0.61,2.43,23.94,
0.71,-0.14,-0.56,2.46,24.14,
0.68,-0.14,-0.61,2.48,24.85,
0.65,-0.13,-0.58,2.46,25.17,
0.67,-0.15,-0.58,2.33,25.77,
0.63,-0.17,-0.57,2.08,26.20,
0.68,-0.13,-0.61,1.87,26.80,
0.64,-0.1,-0.61,1.69,27.31,
0.63,-0.14,-0.57,1.6,27.93,
0.64,-0.14,-0.57,1.53,28.54,
0.68,-0.18,-0.58,1.81,28.85,
