x,y,z,corriente,tiempo,operador
0.03,-0.66,0.2,1.18,0.70,
0.02,-0.66,0.19,1.19,1.21,
0.02,-0.66,0.2,1.2,1.42,
0.03,-0.65,0.2,1.17,1.95,
0,-0.66,0.19,1.15,2.44,
0,-0.69,0.19,1.14,3.06,
0,-0.69,0.17,1.17,3.88,
0.03,-0.66,0.19,1.16,3.88,
0.04,-0.62,0.21,1.16,4.49,
-0.01,-0.69,0.17,1.21,4.96,
0,-0.69,0.16,1.25,5.32,
0,-0.66,0.2,1.25,5.92,
0.03,-0.69,0.2,1.26,6.64,
0.03,-0.65,0.21,1.27,6.95,
0.03,-0.66,0.19,1.26,7.56,
-0.1,-0.73,0.15,1.2,7.88,
-0.05,-0.71,0.13,1.15,8.38,
0.03,-0.66,0.19,1.09,8.91,
0.03,-0.62,0.21,1.02,9.51,
0.04,-0.66,0.2,0.99,9.81,
0.04,-0.7,0.17,0.99,10.53,
-0.01,-0.7,0.15,1,10.95,
-0.06,-0.71,0.12,1.06,11.56,
0.03,-0.69,0.21,1.15,11.87,
-0.09,-0.8,0.07,1.21,12.57,
0.03,-0.57,0.29,1.22,12.95,
-0.1,-0.75,0.12,1.26,13.62,
-0.04,-0.74,0.12,1.42,13.82,
0,-0.65,0.2,1.54,14.52,
-0.01,-0.62,0.21,1.62,15.04,
-0.06,-0.75,0.12,1.67,15.45,
-0.01,-0.73,0.15,1.8,16.27,
0.07,-0.54,0.28,1.9,16.47,
-0.1,-0.69,0.16,1.97,17.08,
-0.05,-0.78,0.12,2.02,17.29,
0.04,-0.65,0.24,2.07,18.31,
-0.02,-0.65,0.21,2.11,18.52,
-0.02,-0.7,0.16,2.13,19.04,
-0.02,-0.71,0.16,2.15,19.54,
-0.02,-0.71,0.16,2.17,20.06,
0.04,-0.57,0.26,2.18,20.56,
-0.06,-0.71,0.15,2.2,20.78,
0,-0.74,0.15,2.25,21.39,
0.04,-0.65,0.21,2.28,22.00,
-0.02,-0.62,0.22,2.33,22.62,
-0.06,-0.69,0.17,2.48,23.03,
-0.02,-0.74,0.12,2.57,23.54,
-0.01,-0.7,0.15,2.61,24.46,
0.07,-0.6,0.28,2.64,24.47,
-0.02,-0.62,0.21,2.66,25.38,
-0.09,-0.75,0.11,2.68,25.39,
0.02,-0.69,0.17,2.69,26.51,
0.04,-0.61,0.25,2.73,27.02,
0.02,-0.61,0.24,2.77,28.05,
-0.01,-0.58,0.24,2.78,28.06,
-0.14,-0.79,0.07,2.79,28.45,
-0.01,-0.74,0.12,2.83,29.07,
0.08,-0.58,0.28,2.89,29.48,
-0.06,-0.7,0.15,2.92,30.82,
-0.09,-0.77,0.07,2.97,31.42,
-0.05,-0.75,0.12,2.99,32.03,
