x,y,z,corriente,tiempo,operador
0.03,-0.61,0.25,1.79,0.45,
0.07,-0.56,0.29,1.98,1.04,
-0.05,-0.7,0.16,2.21,1.78,
0.03,-0.65,0.21,2.41,2.28,
0.03,-0.53,0.29,2.55,2.45,
-0.09,-0.65,0.21,2.67,3.10,
-0.06,-0.79,0.07,2.77,3.60,
0.04,-0.62,0.24,2.87,4.43,
0.03,-0.6,0.28,2.94,4.63,
0.04,-0.58,0.28,2.99,5.14,
-0.02,-0.62,0.2,3.03,5.56,
-0.09,-0.73,0.15,3.06,6.06,
-0.06,-0.82,0.07,3.01,6.69,
-0.02,-0.77,0.12,2.96,6.99,
0.04,-0.62,0.21,2.93,7.45,
0.04,-0.57,0.28,2.93,8.22,
0.04,-0.57,0.28,2.93,8.52,
0.04,-0.5,0.33,2.93,9.03,
-0.09,-0.65,0.2,2.94,9.53,
-0.14,-0.82,0.04,3.06,10.17,
-0.05,-0.79,0.08,3.25,10.60,
-0.01,-0.74,0.12,3.21,10.98,
0,-0.65,0.24,3.05,11.59,
0.03,-0.62,0.25,2.84,12.11,
0.07,-0.57,0.25,2.66,12.62,
-0.02,-0.62,0.22,2.55,12.94,
-0.04,-0.65,0.2,2.46,13.71,
-0.02,-0.65,0.2,2.41,14.06,
-0.02,-0.69,0.17,2.37,14.77,
-0.01,-0.66,0.2,2.35,15.08,
-0.01,-0.66,0.2,2.34,15.59,
-0.01,-0.66,0.2,2.35,16.01,
-0.01,-0.66,0.2,2.37,16.51,
-0.01,-0.65,0.21,2.38,17.22,
-0.01,-0.66,0.19,2.36,17.45,
-0.02,-0.66,0.2,2.34,18.25,
-0.01,-0.66,0.17,2.34,18.47,
-0.02,-0.65,0.21,2.34,19.07,
-0.02,-0.66,0.17,2.34,19.89,
-0.02,-0.69,0.2,2.21,20.20,
-0.01,-0.66,0.17,1.93,20.52,
-0.01,-0.65,0.21,1.73,21.12,
-0.01,-0.66,0.19,1.58,21.63,
-0.01,-0.66,0.2,1.48,22.04,
-0.02,-0.65,0.2,1.41,22.55,
-0.01,-0.65,0.2,1.32,23.06,
-0.01,-0.66,0.19,1.25,23.38,
-0.01,-0.66,0.2,1.21,24.08,
-0.02,-0.66,0.19,1.18,24.60,
-0.01,-0.66,0.21,1.2,25.14,
-0.01,-0.67,0.17,1.21,25.62,
-0.02,-0.66,0.19,1.19,25.94,
-0.02,-0.66,0.2,1.15,26.64,
-0.02,-0.65,0.2,1.12,27.16,
-0.01,-0.66,0.21,1.1,27.36,
-0.01,-0.66,0.2,1.11,28.08,
-0.02,-0.66,0.2,1.12,28.59,
-0.01,-0.66,0.21,1.13,29.10,
-0.02,-0.69,0.17,1.14,29.55,
-0.01,-0.66,0.17,1.15,30.13,
-0.02,-0.66,0.2,1.15,30.75,
-0.01,-0.66,0.2,1.15,31.05,
-0.01,-0.66,0.19,1.15,31.66,
-0.01,-0.66,0.19,1.14,32.07,
-0.02,-0.66,0.19,1.13,32.75,
-0.01,-0.65,0.21,1.12,33.00,
-0.01,-0.66,0.2,1.13,33.71,
-0.01,-0.66,0.2,1.08,34.57,
-0.01,-0.66,0.19,1.05,34.58,
-0.01,-0.66,0.2,1,35.15,
-0.02,-0.69,0.2,0.98,35.36,
-0.01,-0.66,0.17,0.97,36.07,
-0.01,-0.66,0.2,1.02,36.58,
-0.02,-0.65,0.2,1.06,37.19,
-0.02,-0.66,0.19,1.08,37.60,
-0.01,-0.66,0.19,1.06,38.12,
-0.02,-0.66,0.19,1.03,38.63,
-0.01,-0.66,0.2,1,39.34,
-0.01,-0.66,0.19,0.97,39.55,
-0.02,-0.69,0.19,0.94,40.16,
-0.01,-0.66,0.2,0.91,40.37,
-0.01,-0.65,0.2,0.9,41.29,
-0.01,-0.66,0.17,0.9,42.31,
-0.01,-0.65,0.19,0.92,42.52,
-0.01,-0.65,0.21,0.94,42.85,
-0.01,-0.66,0.2,1,43.64,
-0.01,-0.66,0.2,1.01,43.88,
-0.01,-0.66,0.19,1.01,44.57,
-0.01,-0.65,0.2,1.02,45.18,
-0.01,-0.66,0.19,1.04,45.80,
-0.01,-0.66,0.2,1.06,46.31,
-0.02,-0.66,0.19,1.04,46.52,
-0.01,-0.65,0.2,1.02,47.23,
-0.01,-0.67,0.19,1.01,47.64,
-0.01,-0.66,0.19,1.01,48.05,
-0.02,-0.65,0.17,1.06,48.77,
-0.01,-0.65,0.2,1.09,49.07,
-0.01,-0.66,0.2,1.12,49.69,
-0.01,-0.66,0.19,1.14,50.09,
-0.01,-0.66,0.19,1.15,50.51,
-0.01,-0.66,0.21,1.17,51.14,
-0.02,-0.66,0.19,1.17,51.84,
-0.01,-0.66,0.2,1.14,52.15,
-0.01,-0.66,0.19,1.12,52.55,
-0.02,-0.65,0.21,1.08,53.16,
-0.02,-0.66,0.2,1.05,53.57,
-0.01,-0.66,0.2,1.03,53.89,
-0.01,-0.66,0.2,1.02,54.61,
-0.01,-0.66,0.21,0.98,55.11,
-0.01,-0.66,0.2,0.99,55.94,
-0.01,-0.66,0.17,1,56.14,
-0.01,-0.66,0.19,1.01,56.65,
-0.01,-0.65,0.2,1.04,57.47,
-0.01,-0.66,0.19,1.07,57.67,
-0.02,-0.66,0.17,1.08,58.09,
-0.01,-0.66,0.2,1.05,58.59,
-0.01,-0.66,0.21,1.03,59.22,
-0.01,-0.66,0.2,1.01,59.72,
-0.01,-0.66,0.2,0.99,60.03,
-0.02,-0.66,0.19,1,60.54,
-0.01,-0.65,0.2,0.98,61.26,
-0.01,-0.66,0.2,0.97,61.47,
-0.02,-0.66,0.19,0.96,62.08,
-0.01,-0.66,0.17,0.96,62.90,
-0.02,-0.65,0.21,0.96,63.20,
-0.01,-0.66,0.19,0.97,63.61,
-0.01,-0.66,0.17,0.96,64.13,
-0.01,-0.66,0.19,0.93,64.53,
-0.01,-0.66,0.2,0.91,65.25,
-0.01,-0.69,0.2,0.88,65.56,
-0.01,-0.66,0.19,0.86,66.17,
-0.01,-0.66,0.19,0.86,66.48,
-0.01,-0.65,0.21,0.86,67.30,
-0.01,-0.66,0.2,0.88,67.51,
-0.02,-0.66,0.17,0.9,68.32,
-0.02,-0.66,0.2,0.89,68.53,
-0.01,-0.65,0.2,0.91,69.07,
-0.02,-0.66,0.2,0.92,69.56,
-0.01,-0.66,0.19,0.94,70.28,
-0.01,-0.66,0.17,0.94,70.58,
-0.01,-0.65,0.2,0.95,71.19,
-0.01,-0.66,0.19,0.95,71.70,
-0.02,-0.69,0.2,0.99,72.11,
-0.01,-0.66,0.19,1.01,72.95,
-0.01,-0.65,0.19,1.03,72.96,
-0.02,-0.66,0.19,1.03,73.61,
-0.01,-0.66,0.2,1.03,74.06,
-0.01,-0.66,0.2,1.03,74.68,
-0.01,-0.66,0.2,1.03,74.99,
-0.01,-0.69,0.17,1.03,75.59,
-0.01,-0.66,0.2,1.03,76.10,
-0.02,-0.66,0.19,1.02,76.83,
-0.01,-0.66,0.2,1.02,77.65,
-0.01,-0.66,0.2,1.02,77.66,
-0.01,-0.66,0.2,1,78.08,
-0.01,-0.66,0.19,1,78.87,
-0.02,-0.65,0.2,1,79.18,
-0.02,-0.66,0.2,1.02,79.69,
