x,y,z,corriente,tiempo,operador
0.25,-0.62,0.26,0.91,0.45,
0.25,-0.61,0.25,0.92,0.85,
0.25,-0.61,0.25,0.92,1.09,
0.24,-0.61,0.25,0.93,2.06,
0.26,-0.6,0.25,0.92,2.06,
0.25,-0.61,0.25,0.92,3.22,
0.25,-0.62,0.25,0.93,3.22,
0.25,-0.61,0.24,0.93,3.83,
0.25,-0.61,0.25,0.93,4.23,
0.25,-0.61,0.25,0.93,4.91,
0.25,-0.62,0.25,0.95,5.36,
0.25,-0.62,0.25,0.97,5.67,
0.25,-0.61,0.25,0.97,6.39,
0.25,-0.61,0.25,0.96,6.57,
0.28,-0.61,0.25,0.95,8.04,
0.25,-0.61,0.25,0.96,8.40,
0.25,-0.61,0.25,0.98,8.74,
0.25,-0.61,0.25,0.99,9.26,
0.24,-0.61,0.24,1.05,9.60,
0.25,-0.61,0.24,1.1,10.52,
0.25,-0.61,0.25,1.15,10.99,
0.25,-0.61,0.25,1.18,11.30,
0.25,-0.61,0.25,1.2,12.02,
0.25,-0.61,0.25,1.22,12.17,
0.25,-0.61,0.25,1.24,12.93,
0.25,-0.61,0.25,1.24,13.56,
0.25,-0.61,0.25,1.22,14.11,
0.25,-0.61,0.25,1.22,14.88,
0.25,-0.62,0.25,1.21,15.60,
0.25,-0.62,0.25,1.23,16.02,
0.25,-0.62,0.25,1.24,16.32,
0.24,-0.62,0.24,1.25,16.59,
0.25,-0.61,0.25,1.26,17.34,
0.25,-0.62,0.25,1.26,17.75,
0.24,-0.61,0.25,1.26,18.57,
0.24,-0.62,0.25,1.24,18.88,
0.24,-0.61,0.26,1.23,19.21,
0.25,-0.61,0.25,1.17,20.16,
0.24,-0.61,0.25,1.12,20.16,
0.21,-0.61,0.25,1.06,21.03,
0.25,-0.61,0.25,1.01,21.44,
0.24,-0.61,0.25,0.96,21.74,
0.24,-0.62,0.25,0.97,22.67,
0.24,-0.61,0.25,0.98,22.67,
0.25,-0.61,0.25,0.99,23.28,
0.24,-0.61,0.25,1.01,23.91,
0.24,-0.61,0.25,1.02,24.31,
0.24,-0.61,0.25,1.05,24.71,
0.24,-0.61,0.25,1.06,25.73,
0.24,-0.61,0.25,1.04,26.08,
0.24,-0.61,0.25,1.03,26.52,
0.25,-0.61,0.25,1.02,26.60,
0.24,-0.61,0.28,1,27.48,
0.24,-0.62,0.25,0.98,27.89,
0.24,-0.61,0.25,1.02,28.20,
0.24,-0.62,0.25,1.04,28.92,
0.24,-0.61,0.25,1.06,29.05,
0.21,-0.61,0.25,1.07,29.77,
0.24,-0.61,0.25,1.08,30.16,
0.22,-0.62,0.25,1.09,31.20,
0.24,-0.61,0.25,1.09,31.60,
0.24,-0.62,0.25,1.09,31.99,
0.24,-0.61,0.25,1.05,32.28,
0.22,-0.62,0.25,1.05,32.54,
0.25,-0.61,0.28,1.05,33.37,
0.24,-0.61,0.25,1.03,33.52,
0.24,-0.61,0.24,1.02,34.45,
0.22,-0.61,0.25,1,34.88,
0.21,-0.61,0.25,1,35.26,
0.24,-0.6,0.25,1.01,35.53,
0.21,-0.62,0.25,1.02,36.12,
0.21,-0.62,0.25,1.04,37.00,
0.24,-0.61,0.25,1.06,37.52,
0.21,-0.61,0.25,1.07,37.71,
0.21,-0.61,0.25,1.04,38.59,
0.21,-0.62,0.25,1.01,38.81,
0.21,-0.61,0.28,0.99,39.36,
0.21,-0.62,0.24,0.99,39.77,
0.21,-0.61,0.25,1.01,40.22,
0.21,-0.61,0.25,1.04,41.24,
0.22,-0.61,0.25,1.08,41.70,
0.21,-0.61,0.25,1.12,42.12,
0.21,-0.61,0.25,1.13,42.32,
0.21,-0.61,0.25,1.14,43.05,
0.21,-0.61,0.25,1.15,43.41,
0.21,-0.61,0.25,1.16,43.49,
0.21,-0.61,0.25,1.17,44.50,
0.21,-0.61,0.25,1.19,44.63,
0.21,-0.62,0.25,1.18,45.60,
0.21,-0.61,0.25,1.16,45.60,
0.2,-0.61,0.25,1.16,46.10,
0.21,-0.61,0.25,1.15,46.67,
0.24,-0.61,0.24,1.14,47.24,
0.2,-0.61,0.25,1.14,48.17,
0.21,-0.61,0.25,1.15,48.85,
0.21,-0.61,0.25,1.18,49.49,
0.21,-0.61,0.25,1.2,50.41,
0.21,-0.62,0.25,1.2,50.67,
0.21,-0.61,0.25,1.19,50.67,
0.2,-0.62,0.26,1.17,51.45,
0.2,-0.62,0.26,1.14,51.69,
0.21,-0.62,0.24,1.15,52.47,
0.21,-0.61,0.25,1.16,52.80,
0.21,-0.61,0.25,1.16,53.59,
0.2,-0.61,0.25,1.16,53.59,
0.21,-0.62,0.28,1.15,54.09,
0.2,-0.61,0.25,1.14,54.92,
0.21,-0.61,0.28,1.15,55.53,
0.21,-0.61,0.25,1.16,56.13,
0.21,-0.61,0.25,1.17,56.55,
0.21,-0.61,0.25,1.18,56.74,
0.21,-0.61,0.25,1.19,57.20,
0.21,-0.61,0.24,1.2,57.76,
0.2,-0.62,0.25,1.19,58.60,
0.2,-0.62,0.24,1.14,58.61,
0.21,-0.62,0.25,1.1,59.33,
0.19,-0.62,0.26,1.05,59.96,
