x,y,z,tiempo
-0.66,0.46,0.64,0.36
-0.66,0.47,0.63,0.87
-0.66,0.47,0.64,1.35
-0.69,0.47,0.63,1.89
-0.69,0.47,0.64,2.30
-0.66,0.47,0.64,2.81
-0.66,0.47,0.64,3.33
-0.66,0.47,0.64,3.84
-0.66,0.46,0.64,4.35
-0.66,0.47,0.63,4.87
-0.66,0.47,0.67,5.37
-0.66,0.47,0.64,5.89
-0.69,0.47,0.63,6.30
-0.69,0.47,0.64,6.81
-0.69,0.47,0.64,7.32
-0.66,0.46,0.63,7.83
-0.69,0.46,0.64,8.35
-0.7,0.46,0.64,8.87
-0.69,0.5,0.64,9.37
-0.65,0.46,0.63,9.88
-0.66,0.5,0.67,10.40
-0.69,0.5,0.6,10.80
-0.69,0.46,0.58,11.31
-0.74,0.42,0.62,11.82
-0.69,0.46,0.64,12.33
-0.7,0.51,0.68,12.85
-0.74,0.41,0.68,13.36
-0.7,0.55,0.6,13.77
-0.74,0.43,0.71,14.39
-0.7,0.5,0.68,14.80
-0.65,0.54,0.64,15.31
-0.6,0.45,0.62,15.82
-0.71,0.46,0.64,16.33
-0.78,0.5,0.68,16.84
-0.78,0.59,0.63,17.27
-0.62,0.51,0.68,17.86
-0.69,0.38,0.63,18.38
-0.69,0.58,0.73,18.89
-0.69,0.46,0.59,19.41
-0.66,0.51,0.68,19.91
-0.51,0.54,0.63,20.33
-0.06,0.37,0.59,20.84
-0.62,0.58,0.68,21.35
-0.49,0.75,0.81,21.86
-0.53,0.51,0.64,22.37
-0.7,0.32,0.67,22.89
-0.57,0.46,0.63,23.30
-0.62,0.51,0.63,23.91
-0.79,0.38,0.72,24.42
-0.73,0.54,0.67,24.83
-0.66,0.52,0.63,25.35
-0.57,0.63,0.64,25.85
-0.61,0.46,0.62,26.37
-0.66,0.59,0.76,26.82
-0.62,0.51,0.72,27.29
-0.7,0.41,0.68,27.80
-0.52,0.41,0.59,28.31
-0.74,0.5,0.76,28.82
-0.53,0.41,0.55,29.44
-0.7,0.5,0.68,29.85
-0.66,0.51,0.64,30.36
-0.61,0.42,0.64,30.87
-0.49,0.72,0.72,31.38
-0.61,0.42,0.67,31.80
-0.6,0.42,0.64,32.31
-0.65,0.47,0.63,32.92
-0.7,0.47,0.72,33.33
-0.79,0.59,0.71,33.84
-0.61,0.51,0.59,34.35
-0.7,0.46,0.71,34.78
-0.74,0.63,0.93,35.38
-0.57,0.54,0.76,35.94
-0.58,0.55,0.68,36.40
-0.75,0.43,0.6,36.89
-0.66,0.47,0.59,37.32
-0.78,0.47,0.71,37.84
-0.67,0.5,0.67,38.35
-0.69,0.49,0.64,38.86
-0.67,0.46,0.64,39.35
-0.66,0.47,0.64,39.88
-0.66,0.47,0.64,40.40
-0.66,0.47,0.64,40.81
-0.66,0.47,0.64,41.42
-0.66,0.47,0.64,41.85
-0.73,0.54,0.67,42.34
-0.67,0.49,0.64,42.86
-0.66,0.51,0.64,43.37
-0.66,0.47,0.63,43.88
-0.7,0.5,0.67,44.29
-0.65,0.49,0.64,44.90
-0.65,0.5,0.64,45.41
-0.66,0.47,0.64,45.82
-0.69,0.47,0.64,46.35
-0.66,0.47,0.64,46.84
-0.66,0.47,0.64,47.36
-0.66,0.5,0.62,47.86
-0.67,0.47,0.64,48.84
-0.66,0.47,0.64,49.31
-0.7,0.5,0.64,49.89
-0.66,0.47,0.64,50.43
-0.66,0.47,0.66,50.84
-0.66,0.47,0.64,51.33
-0.69,0.47,0.64,51.87
-0.67,0.49,0.64,52.38
-0.69,0.47,0.64,52.87
-0.67,0.47,0.63,53.40
-0.66,0.47,0.64,53.91
-0.66,0.47,0.64,54.33
-0.66,0.47,0.64,54.84
-0.66,0.47,0.64,55.35
-0.66,0.47,0.66,55.86
-0.66,0.49,0.63,56.37
-0.66,0.47,0.64,56.88
-0.69,0.49,0.64,57.39
-0.66,0.47,0.64,57.90
-0.66,0.47,0.64,58.31
-0.66,0.47,0.67,58.82
-0.67,0.46,0.63,59.33
-0.66,0.47,0.64,59.84
-0.66,0.5,0.64,60.36
-0.66,0.47,0.64,60.87
-0.66,0.47,0.64,61.38
-0.66,0.47,0.64,61.88
-0.62,0.51,0.64,62.30
-0.69,0.49,0.64,62.81
-0.66,0.5,0.64,63.43
-0.69,0.46,0.76,63.84
-0.69,0.47,0.64,64.35
-0.66,0.46,0.64,64.86
-0.62,0.51,0.64,65.37
-0.66,0.5,0.64,65.89
-0.66,0.5,0.64,66.29
-0.66,0.46,0.64,66.91
-0.71,0.47,0.67,67.37
-0.66,0.47,0.64,67.83
-0.66,0.47,0.64,68.34
-0.74,0.51,0.66,68.86
-0.66,0.47,0.64,69.37
-0.66,0.46,0.64,69.78
-0.69,0.47,0.64,70.39
-0.7,0.5,0.6,70.80
-0.7,0.47,0.68,71.42
-0.7,0.47,0.64,71.87
-0.66,0.49,0.64,72.34
-0.66,0.47,0.66,72.85
-0.66,0.47,0.64,73.36
-0.66,0.46,0.64,73.87
-0.66,0.47,0.64,74.39
-0.66,0.47,0.64,74.90
-0.66,0.46,0.62,75.41
-0.66,0.5,0.64,75.82
-0.66,0.47,0.64,76.33
-0.66,0.47,0.62,76.84
-0.65,0.46,0.67,77.42
-0.69,0.42,0.67,77.87
-0.7,0.5,0.72,78.38
-0.75,0.46,0.69,78.81
-0.66,0.46,0.63,79.40
-0.65,0.46,0.67,79.81
-0.7,0.5,0.63,80.32
-0.65,0.5,0.68,80.84
-0.61,0.51,0.59,81.35
-0.62,0.38,0.58,81.86
-0.65,0.49,0.72,82.37
-0.7,0.55,0.68,82.89
-0.63,0.5,0.6,83.40
-0.74,0.39,0.64,83.91
-0.71,0.5,0.73,84.32
-0.7,0.42,0.55,84.83
-0.58,0.43,0.68,85.35
-0.57,0.45,0.67,85.86
-0.67,0.46,0.72,86.29
-0.58,0.5,0.62,86.88
-0.71,0.42,0.68,87.39
-0.74,0.59,0.76,87.86
-0.74,0.54,0.72,88.41
-0.61,0.58,0.71,88.82
-0.69,0.51,0.77,89.34
-0.3,0.38,0.54,89.86
-0.47,0.54,0.6,90.37
-0.99,0.5,0.73,90.88
-0.69,0.6,0.8,91.35
-0.52,0.68,0.72,91.89
-1.18,0.43,0.71,92.33
-0.57,0.64,0.8,92.92
-0.54,0.5,0.68,93.33
-0.58,0.55,0.68,93.84
-0.66,0.6,0.71,94.36
-0.65,0.55,0.64,94.87
-0.56,0.46,0.68,95.38
-0.87,0.46,0.68,95.89
-0.69,0.43,0.71,96.40
-0.75,0.55,0.72,96.91
-0.66,0.47,0.54,97.32
-0.91,0.59,0.86,97.84
-0.83,0.56,0.77,98.35
-0.7,0.47,0.72,98.86
-0.71,0.43,0.77,99.37
-0.61,0.47,0.71,99.89
-0.58,0.54,0.68,100.39
-0.48,0.5,0.72,100.88
-0.62,0.54,0.72,101.42
-0.88,0.54,0.8,101.93
-0.69,0.54,0.71,102.34
-0.87,0.47,0.67,102.86
-0.84,0.54,0.81,103.36
-0.91,0.46,0.68,103.98
-0.48,0.46,0.59,104.40
-0.62,0.49,0.63,104.90
-0.77,0.59,0.64,105.42
-0.53,0.5,0.62,105.92
-0.48,0.55,0.82,106.35
-0.78,0.55,0.79,106.84
-0.54,0.5,0.6,107.36
-0.62,0.76,0.92,107.87
