x,y,z,corriente,tiempo,operador
-0.04,-0.7,0.16,0.86,0.51,
-0.04,-0.7,0.17,0.87,1.12,
-0.05,-0.71,0.15,0.88,1.63,
-0.05,-0.7,0.16,0.89,1.95,
-0.04,-0.7,0.16,0.84,2.65,
-0.01,-0.7,0.17,0.89,3.06,
-0.02,-0.7,0.16,0.96,3.37,
-0.02,-0.7,0.16,1,4.09,
-0.05,-0.7,0.15,1.06,4.40,
-0.02,-0.71,0.16,1.1,4.81,
-0.05,-0.7,0.15,1.13,5.52,
-0.02,-0.69,0.17,1.15,6.03,
-0.04,-0.69,0.17,1.19,6.63,
-0.01,-0.69,0.15,1.26,7.69,
-0.04,-0.69,0.16,1.33,8.17,
-0.04,-0.67,0.17,1.38,8.68,
-0.01,-0.69,0.16,1.47,9.15,
-0.05,-0.7,0.16,1.51,9.82,
-0.05,-0.73,0.15,1.54,10.04,
-0.06,-0.7,0.15,1.56,10.85,
-0.1,-0.73,0.13,1.62,10.86,
0,-0.66,0.19,1.66,11.56,
-0.02,-0.71,0.15,1.69,11.88,
-0.05,-0.7,0.17,1.71,12.59,
-0.04,-0.71,0.15,1.7,13.72,
-0.09,-0.75,0.11,1.71,13.73,
0,-0.66,0.17,1.75,13.82,
0.15,-0.52,0.3,1.82,14.64,
0.25,-0.35,0.49,1.88,14.95,
-0.1,-0.75,0.07,1.92,15.76,
-0.02,-0.73,0.13,1.94,16.28,
0.04,-0.61,0.21,1.9,16.79,
-0.02,-0.66,0.2,1.88,17.22,
-0.13,-0.82,0.04,1.87,17.40,
-0.01,-0.73,0.13,1.87,18.22,
-0.05,-0.66,0.2,1.87,18.52,
-0.05,-0.65,0.21,1.86,19.04,
-0.05,-0.73,0.12,1.87,19.65,
-0.02,-0.75,0.11,1.89,20.27,
0.04,-0.66,0.2,1.89,20.78,
0.04,-0.58,0.25,2.23,21.09,
-0.11,-0.71,0.15,2.6,21.40,
-0.1,-0.82,0.04,3.09,22.21,
0,-0.71,0.16,3.47,22.52,
0.04,-0.66,0.21,3.76,22.93,
-0.02,-0.65,0.2,4.02,23.85,
-0.09,-0.71,0.12,4.24,24.48,
-0.14,-0.79,0.08,4.43,24.48,
-0.06,-0.79,0.08,4.59,25.18,
0.07,-0.62,0.24,4.73,25.49,
0,-0.62,0.24,4.84,26.00,
-0.1,-0.71,0.13,4.93,26.61,
-0.06,-0.66,0.17,4.99,26.93,
-0.13,-0.79,0.07,5.03,27.75,
-0.09,-0.78,0.11,5.06,28.05,
0.08,-0.61,0.21,5.1,28.46,
0.03,-0.62,0.22,5.17,29.01,
-0.06,-0.7,0.15,5.24,29.48,
-0.05,-0.73,0.12,5.28,30.00,
-0.04,-0.71,0.13,5.31,30.61,
-0.05,-0.75,0.11,5.11,30.93,
0,-0.69,0.17,4.83,31.54,
0.03,-0.61,0.24,4.18,31.94,
-0.1,-0.75,0.11,3.35,33.08,
-0.05,-0.78,0.08,2.77,33.89,
0,-0.71,0.15,2.36,33.90,
