x,y,z,corriente,tiempo,operador
-0.62,0.54,0.84,0.86,0.37,
-0.62,0.54,0.84,0.87,0.78,
-0.62,0.54,0.8,0.89,1.22,
-0.61,0.54,0.84,0.91,1.80,
-0.62,0.51,0.81,0.91,2.24,
-0.61,0.54,0.81,0.96,2.65,
-0.6,0.51,0.81,0.98,3.06,
-0.61,0.54,0.81,1,3.58,
-0.62,0.55,0.85,1.06,3.99,
-0.62,0.54,0.82,1.15,4.50,
-0.61,0.51,0.85,1.22,5.01,
-0.69,0.46,0.85,1.26,5.52,
-0.61,0.55,0.85,1.29,6.03,
-0.62,0.51,0.8,1.34,6.55,
-0.58,0.49,0.89,1.39,7.06,
-0.73,0.5,0.84,1.44,7.88,
-0.54,0.59,0.84,1.46,8.29,
-0.58,0.58,0.88,1.53,8.80,
-0.5,0.55,1.02,1.56,9.31,
-0.65,0.49,0.81,1.6,9.82,
-0.62,0.59,0.86,1.65,10.33,
-0.56,0.6,0.82,1.7,10.85,
-0.65,0.63,0.73,1.72,11.36,
-0.61,0.46,0.88,1.77,11.87,
-0.66,0.59,0.94,1.8,12.28,
-0.66,0.34,0.93,1.86,12.79,
-0.79,0.41,0.76,1.9,13.31,
-0.84,0.46,0.89,1.91,13.81,
-0.78,0.6,0.59,1.86,14.33,
-0.73,0.59,0.9,1.71,14.84,
-0.78,0.3,0.98,1.61,15.35,
-0.6,0.51,0.81,1.51,15.75,
-0.78,0.64,1.05,1.44,16.27,
-0.77,0.47,0.85,1.39,16.88,
-0.57,0.45,0.94,1.39,17.29,
-0.87,0.59,0.73,1.4,17.80,
-0.69,0.72,0.76,1.43,18.32,
-0.71,0.39,0.84,1.43,18.83,
-0.7,0.45,0.8,1.64,19.34,
-0.61,0.73,0.93,1.8,19.85,
-0.88,0.64,0.97,1.93,20.27,
-0.73,0.38,0.85,2.06,20.77,
-0.62,0.37,0.77,2.21,21.28,
-0.7,0.71,0.9,2.35,21.80,
-0.65,0.75,0.72,2.48,22.31,
-0.71,0.51,0.8,2.56,22.82,
-0.66,0.33,0.97,2.6,23.54,
-0.82,0.51,0.8,2.63,23.84,
-0.82,0.67,0.94,2.65,24.35,
-0.77,0.64,0.77,2.68,24.85,
-0.82,0.41,0.76,2.72,25.59,
-0.61,0.37,0.93,2.75,26.00,
-0.78,0.51,1.11,2.78,26.41,
-0.83,0.71,0.58,2.79,26.92,
-0.84,0.58,1.01,2.82,27.33,
-0.69,0.43,0.86,2.84,27.94,
-0.79,0.28,0.85,2.85,28.35,
-0.66,0.52,0.93,2.87,28.86,
-0.74,0.68,0.93,2.61,29.38,
-0.79,0.55,0.67,2.33,29.89,
-0.78,0.55,0.88,2.13,30.29,
-0.83,0.41,0.85,1.69,30.80,
-0.83,0.5,0.76,1.37,31.32,
-0.65,0.72,0.89,1.14,31.83,
-0.83,0.73,0.89,0.96,32.34,
-0.79,0.54,0.8,0.85,32.85,
-0.79,0.38,0.8,0.8,33.37,
-0.7,0.38,0.94,0.77,33.88,
-0.62,0.54,0.8,0.75,34.39,
-0.77,0.72,0.6,0.78,34.80,
-0.66,0.71,0.94,0.77,35.42,
-0.96,0.51,0.8,0.77,35.82,
-0.95,0.47,0.62,0.8,36.34,
-0.56,0.37,0.93,0.82,36.85,
-0.69,0.35,0.97,0.8,37.36,
-0.82,0.43,0.64,0.81,37.88,
-0.83,0.55,0.81,0.84,38.28,
-0.73,0.72,1.14,0.85,38.90,
-0.86,0.72,0.8,0.85,39.30,
-0.73,0.58,0.63,0.87,39.82,
-0.66,0.54,0.99,0.9,40.33,
-0.77,0.37,0.94,0.92,40.84,
-0.92,0.37,0.67,0.93,41.26,
-0.82,0.62,0.97,0.94,41.76,
-0.79,0.6,1.01,0.95,42.38,
-0.84,0.68,0.71,0.93,42.89,
-0.74,0.54,0.75,1.05,43.30,
-0.79,0.38,0.93,1.23,43.82,
-0.79,0.41,0.84,1.38,44.32,
-0.74,0.46,0.77,1.48,44.84,
-0.92,0.59,0.76,1.58,45.35,
-0.74,0.76,0.81,1.66,45.86,
-0.87,0.71,0.76,1.69,46.37,
-0.83,0.58,0.85,1.74,46.88,
-0.87,0.33,0.81,1.79,47.29,
-0.95,0.33,0.8,1.84,47.80,
-0.78,0.34,0.8,1.9,48.32,
-0.83,0.54,0.9,1.94,48.83,
-0.83,0.73,0.81,1.97,49.34,
-0.84,0.71,0.77,1.98,49.85,
-0.78,0.77,0.84,1.99,50.37,
-0.78,0.45,0.94,2.01,50.88,
-0.73,0.32,0.88,2.17,51.39,
-0.95,0.29,0.77,2.53,51.76,
-0.87,0.38,0.99,2.78,52.31,
-0.87,0.5,1.06,2.96,52.82,
-0.83,0.68,0.63,3.02,53.34,
-0.79,0.73,0.72,2.96,53.95,
-0.78,0.69,0.8,2.86,54.46,
-0.82,0.64,0.86,2.78,54.97,
-0.82,0.47,0.64,2.73,55.38,
-0.86,0.37,0.94,2.71,55.79,
-0.88,0.39,0.97,2.69,56.30,
-0.88,0.42,0.67,2.7,56.92,
-0.74,0.55,0.73,2.71,57.43,
-0.78,0.67,1.07,2.72,57.84,
-0.75,0.59,0.94,2.74,58.35,
-0.77,0.54,0.8,2.75,58.87,
-0.65,0.55,0.86,2.76,59.38,
-0.61,0.55,0.88,2.77,59.89,
x,y,z,corriente,tiempo,operador
x,y,z,corriente,tiempo,operador
-0.62,0.54,0.81,NaN,0.53,
-0.62,0.53,0.81,NaN,1.04,
-0.62,0.51,0.81,NaN,1.56,
-0.62,0.54,0.82,NaN,2.06,
-0.61,0.53,0.83,NaN,2.49,
-0.62,0.51,0.82,NaN,2.98,
-0.62,0.54,0.84,NaN,3.60,
-0.62,0.54,0.81,NaN,4.00,
-0.61,0.54,0.84,NaN,4.62,
-0.62,0.54,0.81,NaN,5.03,
-0.64,0.51,0.81,NaN,5.54,
-0.62,0.52,0.81,NaN,6.05,
-0.64,0.52,0.81,NaN,6.57,
-0.62,0.51,0.84,NaN,7.08,
-0.62,0.51,0.81,0.74,7.51,
-0.61,0.51,0.84,0.74,8.10,
-0.61,0.54,0.84,0.76,8.52,
-0.62,0.54,0.81,0.8,9.02,
-0.62,0.52,0.81,0.83,9.53,
x,y,z,corriente,tiempo,operador
-0.62,0.51,0.81,0.86,0.50,
-0.62,0.51,0.84,0.84,1.01,
-0.62,0.54,0.84,0.85,1.42,
-0.62,0.51,0.81,0.85,1.94,
-0.62,0.51,0.82,0.85,2.45,
